

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:32 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:33 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:33 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:33 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:33 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:33 ||| CHANNEL...   ||  [1, -1, -1, 1]
03/10/2021 07:37:33 ||| SENDER-4     ||  DATA BIT SEND 1
03/10/2021 07:37:33 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:33 ||| CHANNEL...   ||  [1, -1, 1, -1]
03/10/2021 07:37:33 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:33 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:33 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:33 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:34 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:34 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:34 ||| CHANNEL...   ||  [1, 1, -1, -1]1
03/10/2021 07:37:34 ||| CHANNEL...   ||  [1, -1, -1, 1]1
03/10/2021 07:37:34 ||| CHANNEL...   ||  [1, -1, 1, -1]1
03/10/2021 07:37:34 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:34 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:34 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:34 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:35 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:35 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:35 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:35 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:35 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:35 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:35 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:35 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:35 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:36 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:36 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:36 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:36 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:36 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:36 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:36 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:36 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:36 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:36 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:36 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:37 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:37 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:37 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
03/10/2021 07:37:37 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
03/10/2021 07:37:37 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:37 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:37 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:37 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:37 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:38 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:38 ||| CHANNEL...   ||  [-1, -1, -1, -1]
